	userid	topic_num	query	query_index	query_satisfaction_annotation
708	21	4	国际航班 液体登机	6	2
709	21	4	国际航班 手提 不能托运	7	2
710	12	4	手提行李限制	0	2
711	12	4	手提行李限制 国际	1	1
712	12	4	托运行李限制 国际	2	3
713	12	4	托运行李 电脑	3	1
714	12	4	托运行李 电脑 美国	4	1
715	12	4	托运行李 国际航班 电脑	5	3
716	9	4	手提行李限制	0	4
717	9	4	手提行李   液体容量	1	1
718	9	4	手提行李   液体容量	2	3
719	9	4	托运行李 	3	3
720	17	4	手提行李限制	0	3
721	17	4	手提行李限制 国际航班	1	5
722	17	4	手提行李限制 国际航班 液体	2	1
723	17	4	手提行李限制 国际航班 液体	3	2
724	17	4	手提行李限制 液体	4	3
725	17	4	托运行李限制 国际航班	5	4
726	17	4	手提行李限制 国际航班	6	4
727	15	4	手提行李限制	0	1
728	15	4	美国 手提行李限制	1	5
729	15	4	美国 托运行李规定	2	4
730	15	4	美国 不能带上飞机的行李	3	3
731	15	4	美国 不能托运的	4	2
732	15	4	去美国 不能托运的	5	1
733	15	4	去美国 不能托运	6	4
734	25	4	手提行李限制	0	1
735	25	4	国际航班 美国 行李限制	1	4
736	25	4	必须手提的行李	2	1
737	6	4	手提行李限制	0	3
738	10	4	手提行李限制	0	3
739	10	4	托运行李限制	1	2
740	10	4	国际航班中手提行李中可以有多少液体	2	1
741	10	4	手提行李 液体	3	3
742	10	4	液体、气雾剂及凝胶在国际航班上的规定	4	2
743	10	4	手提行李中不能携带的物品	5	3
744	10	4	哪些物品只能托运	6	2
745	14	4	手提行李限制	0	1
746	14	4	美国 手提行李限制	1	3
747	14	4	美国 托运行李限制	2	3
748	14	4	手提行李限制 液体	3	1
749	18	4	手提行李限制	0	1
750	18	4	国际航班 行李限制	1	4
751	18	4	国际航班 手提行李 液体	2	3
752	18	4	国际航班 手提行李 液体 规定	3	3
753	2	4	手提行李限制	0	4
754	2	4	托运行李限制	1	3
755	24	4	手提行李限制	0	3
756	24	4	国际航班 托运行李	1	3
757	24	4	手提行李限制	2	1
758	11	4	手提行李限制	0	2
759	11	4	国际航班对行李中液体限制	1	4
760	20	4	手提行李限制	0	4
761	1	4	手提行李限制	0	4
762	1	4	托运行李限制	1	4
763	1	4	手提行李 液体	2	3
764	1	4	哪些物品 手提行李	3	3
765	1	4	哪些物品必须托运	4	4
766	4	4	手提行李限制	0	4
767	4	4	手提行李 液体	1	1
768	4	4	国际航班 手提 托运 体积 重量 限制	2	1
769	16	4	手提行李限制	0	3
770	16	4	飞机 托运行李限制	1	2
771	16	4	国际航班 托运行李限制	2	5
772	16	4	国际航班 必须托运行李	3	1
773	16	4	国际航班 手提液体	4	1
774	7	4	手提行李限制	0	3
775	7	4	留美 国际航班 手提行李限制	1	2
776	7	4	留美 行李限制	2	3
777	7	4	留美 手提行李 液体	3	3
778	7	4	留美 什么必须托运	4	1
779	7	4	留美 行李中什么必须托运	5	1
780	19	4	手提行李限制	0	4
781	19	4	国际航班手提行李限制	1	4
782	19	4	国际航班手提行李 液体	2	1
783	19	4	国际航班手提行李 液体	3	3
784	19	4	国际航班托运行李 	4	3
785	19	4	国际航班手提行李不能带 	5	3
786	19	4	手提行李限制	6	1
787	8	4	手提行李限制	0	1
788	8	4	国际航班行李限制	1	3
789	8	4	国际航班行李限制统一规定	2	5
790	8	4	国际航班手提行李可携带液体数	3	3
791	8	4	国际航班手提行李可携带液体	4	5
792	3	4	手提行李限制	0	3
793	3	4	手提行李限制 国际航班	1	5
794	3	4	手提行李液体 国际航班	2	1
795	3	4	手提行李液体 	3	5
796	23	4	手提行李限制	0	2
797	23	4	国际航班中有关行李的规定	1	4
798	23	4	国际航班中哪些行李必须托运	2	3
799	23	4	国际航班中哪些行李必须手提	3	3
800	23	4	国际航班中乘客可以携带多少液体	4	2
801	13	4	手提行李限制	0	3
802	13	4	那些行李必须手提	1	3
803	5	4	手提行李限制	0	1
804	5	4	国际航班行李	1	5
805	5	4	到美国的国际航班行李	2	1
806	5	4	到美国的国际航班行李	3	1
807	5	4	国际航班手提行李能带多少液体	4	1
808	5	4	国际航班手提行李能带多少液体	5	5
809	22	4	手提行李限制	0	1
810	22	4	国际航班 手提行李限制	1	4
811	21	7	戒烟	0	5
812	12	7	戒烟	0	4
813	12	7	有效戒烟	1	4
814	12	7	戒烟 好处	2	4
815	12	7	戒烟 坏处	3	4
816	9	7	戒烟	0	5
817	9	7	吸烟 危害	1	1
818	9	7	吸烟 危害	2	3
819	17	7	戒烟	0	4
820	15	7	戒烟	0	4
821	15	7	戒烟的好处	1	1
822	25	7	戒烟	0	4
823	25	7	戒烟的副作用	1	4
824	6	7	戒烟	0	3
825	6	7	戒烟 副作用	1	3
826	10	7	戒烟	0	4
827	10	7	戒烟的副作用	1	5
828	14	7	戒烟	0	2
829	14	7	戒烟 好处	1	2
830	14	7	戒烟 副作用	2	1
831	14	7	戒烟的副作用	3	5
832	18	7	戒烟	0	3
833	18	7	戒烟 好处	1	4
834	18	7	戒烟 副作用	2	1
835	18	7	戒烟本身的副作用	3	4
836	2	7	戒烟	0	3
837	2	7	戒烟好处	1	4
838	24	7	戒烟	0	4
839	24	7	戒烟 副作用	1	5
840	11	7	戒烟	0	4
841	20	7	戒烟	0	5
842	20	7	戒烟的副作用	1	5
843	20	7	戒烟的好处	2	1
844	20	7	戒烟的好处	3	1
845	1	7	戒烟	0	4
846	4	7	戒烟	0	2
847	4	7	戒烟 副作用	1	5
848	4	7	戒烟 好处	2	4
849	16	7	戒烟	0	5
850	7	7	戒烟	0	4
851	7	7	戒烟副作用	1	4
852	7	7	戒烟方法	2	4
853	19	7	戒烟	0	4
854	19	7	戒烟 好处	1	5
855	19	7	戒烟 副作用	2	5
856	19	7	戒烟 方法	3	3
857	19	7	戒烟 方法	4	1
858	19	7	戒烟	5	5
859	8	7	戒烟	0	1
860	8	7	戒烟的益处	1	3
861	8	7	戒烟副作用	2	4
862	3	7	戒烟	0	3
863	3	7	戒烟好处	1	4
864	3	7	戒烟副作用	2	5
865	23	7	戒烟	0	3
866	13	7	戒烟	0	2
867	5	7	戒烟	0	3
868	5	7	戒烟好处	1	5
869	5	7	戒烟副作用	2	3
870	22	7	戒烟	0	5
871	21	8	谷歌眼镜	0	3
872	12	8	谷歌眼镜	0	2
873	12	8	谷歌眼镜 使用方法	1	3
874	12	8	谷歌眼镜 价格	2	1
875	9	8	谷歌眼镜	0	2
876	17	8	谷歌眼镜	0	3
877	15	8	谷歌眼镜	0	2
878	15	8	谷歌眼镜 功能	1	3
879	15	8	谷歌眼镜 如何使用	2	5
880	25	8	谷歌眼镜	0	2
881	25	8	谷歌眼镜功能	1	4
882	25	8	谷歌眼镜功能 使用方式	2	2
883	6	8	谷歌眼镜	0	3
884	6	8	谷歌眼镜功能	1	3
885	6	8	谷歌眼镜 售价	2	2
886	10	8	谷歌眼镜	0	3
887	10	8	谷歌眼镜使用方式	1	3
888	10	8	谷歌眼镜售价	2	2
889	14	8	谷歌眼镜	0	3
890	14	8	谷歌眼镜 使用方式	1	3
891	18	8	谷歌眼镜	0	2
892	18	8	谷歌眼镜 使用港式	1	1
893	18	8	谷歌眼镜 使用方式	2	3
894	2	8	谷歌眼镜	0	3
895	24	8	谷歌眼镜	0	3
896	24	8	谷歌眼镜功能	1	2
897	24	8	谷歌眼镜 价格	2	2
898	24	8	谷歌眼镜 使用	3	1
899	24	8	谷歌眼镜 使用方式	4	2
900	11	8	谷歌眼镜	0	2
901	11	8	谷歌眼镜功能	1	4
902	11	8	谷歌眼镜使用方法	2	2
903	11	8	谷歌眼镜功能	3	1
904	11	8	谷歌眼镜价格	4	1
905	20	8	谷歌眼镜	0	3
906	1	8	谷歌眼镜	0	4
907	4	8	谷歌眼镜	0	1
908	4	8	谷歌眼镜 功能	1	2
909	4	8	谷歌眼镜 使用方式	2	5
910	16	8	谷歌眼镜	0	1
911	16	8	谷歌眼镜 百科	1	1
912	16	8	谷歌眼镜 维基百科	2	3
913	16	8	google眼镜 维基百科	3	1
914	16	8	google眼镜 百度百科	4	1
915	16	8	google眼镜 使用方式	5	2
916	16	8	google眼镜 价格	6	5
917	7	8	谷歌眼镜	0	4
918	19	8	谷歌眼镜	0	2
919	19	8	谷歌眼镜 价格	1	2
920	19	8	谷歌眼镜 功能能	2	3
921	19	8	谷歌眼镜 使用方式	3	2
922	19	8	谷歌眼镜	4	2
923	8	8	谷歌眼镜	0	1
924	8	8	谷歌眼镜使用方式	1	2
925	3	8	谷歌眼镜	0	2
926	3	8	谷歌眼镜价格	1	2
927	23	8	谷歌眼镜	0	4
928	13	8	谷歌眼镜	0	5
929	5	8	谷歌眼镜	0	2
930	5	8	谷歌眼镜功能	1	1
931	5	8	谷歌眼镜功能	2	4
932	22	8	谷歌眼镜	0	3
933	22	8	谷歌眼镜 功能	1	3
934	22	8	谷歌眼镜 使用说明	2	2
