	userid	topic_num	query	docno	url	query_index	click_index	usefulness_annotation
1159	10	4	哪些物品只能托运	8823	http://news.163.com/11/1222/10/7LSE0AVC00014AEE.html	6	0	2
1160	14	4	美国 手提行李限制	8446	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	1	0	3
1161	14	4	美国 托运行李限制	8472	http://www.qantas.com.au/travel/airlines/checked-baggage/global/zh_TW	2	0	2
1162	14	4	手提行李限制 液体	8503	http://www.britishairways.com/zh-cn/information/baggage-essentials/liquids-and-restrictions	3	0	1
1163	18	4	国际航班 行李限制	12796	http://www.airchina.com.cn/cn/baggage_service/common_checked_baggage.shtml	1	0	3
1164	18	4	国际航班 行李限制	12801	http://emuch.net/html/200906/1363085.html	1	1	4
1165	18	4	国际航班 手提行李 液体	12818	http://www.ksyzs.com/article/zonghe/2013-03-26/1824252.html	2	0	3
1166	18	4	国际航班 手提行李 液体	12821	http://www.ksyzs.com/article/zonghe/2012-06-03/1303240.html	2	1	2
1167	18	4	国际航班 手提行李 液体 规定	12851	http://www.4008885166.com/guogui1/	3	0	3
1168	2	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	0	3
1169	2	4	手提行李限制	100	http://www.virgin-atlantic.com/cn/zh_CN/travel-information/baggage/hand-baggage.html	0	1	2
1170	2	4	手提行李限制	104	http://www.americanairlines.cn/intl/cn/travelInformation/carryOn.jsp	0	2	4
1171	2	4	托运行李限制	2075	http://www.qantas.com.au/travel/airlines/checked-baggage/global/zh_TW	1	0	4
1172	2	4	托运行李限制	2079	http://www.pintour.com/info/focus/527035	1	1	2
1173	24	4	手提行李限制	101	http://www.britishairways.com/zh-cn/information/baggage-essentials/hand-baggage-allowances	0	0	4
1174	24	4	手提行李限制	100	http://www.virgin-atlantic.com/cn/zh_CN/travel-information/baggage/hand-baggage.html	0	1	2
1175	24	4	手提行李限制	105	http://www.yznews.com.cn/yzwzt/ytjc/2012-05/06/content_3928324.htm	0	2	2
1176	24	4	手提行李限制	107	http://www.wiseway.com.cn/news/uk_zhuanlan2/2008/111/081111447489780486HHEA9FJ28E1JBEG34JJ7HC93C038KFKE808FCI.html	0	3	1
1177	24	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	4	2
1178	24	4	国际航班 托运行李	10578	http://www.airchina.com.cn/cn/baggage_service/checked_in.shtml	1	0	1
1179	24	4	国际航班 托运行李	10581	http://www.woaifei.cn/help/201009051369.html	1	1	3
1180	24	4	国际航班 托运行李	10587	http://www.012599.com/616801473.html	1	2	2
1181	24	4	手提行李限制	105	http://www.yznews.com.cn/yzwzt/ytjc/2012-05/06/content_3928324.htm	2	0	1
1182	11	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	0	3
1183	11	4	手提行李限制	100	http://www.virgin-atlantic.com/cn/zh_CN/travel-information/baggage/hand-baggage.html	0	1	2
1184	11	4	国际航班对行李中液体限制	19816	http://www.gan-ren.com/renshi_redfvdbe.htm	1	0	4
1185	20	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	0	1
1186	20	4	手提行李限制	102	http://www.airasia.com/cn/zh/baggage-info/cabin-baggage.page	0	1	4
1187	1	4	手提行李限制	105	http://www.yznews.com.cn/yzwzt/ytjc/2012-05/06/content_3928324.htm	0	0	3
1188	1	4	手提行李限制	100	http://www.virgin-atlantic.com/cn/zh_CN/travel-information/baggage/hand-baggage.html	0	1	4
1189	1	4	手提行李限制	101	http://www.britishairways.com/zh-cn/information/baggage-essentials/hand-baggage-allowances	0	2	4
1190	1	4	托运行李限制	2074	http://www.united.com/web/zh-CN/content/travel/baggage/check.aspx	1	0	3
1191	1	4	手提行李 液体	8734	http://www.lufthansa.com/cn/mi/Liquids-in-hand-luggage	2	0	3
1192	1	4	手提行李 液体	8740	http://news.163.com/06/1031/15/2UP86TFM0001124J.html	2	1	2
